SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AGE_CLIENT,YEARS_EMPLOYED,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,ANNUITY_INCOME%,PAYMENT_RATE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE
100002,1,Cash loans,M,25.92054794520548,1.75,1.0,N,Y,202500.0,406597.5,24700.5,351000.0,0.12197777777777778,0.06074926678103038,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100003,0,Cash loans,F,45.93150684931507,3.25,2.0,N,N,270000.0,1293502.5,35698.5,1129500.0,0.13221666666666668,0.027598323157473605,State servant,Higher education,Married,House / apartment,Core staff
100004,0,Revolving loans,M,52.18082191780822,0.62,1.0,Y,Y,67500.0,135000.0,6750.0,135000.0,0.1,0.05,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100006,0,Cash loans,F,52.06849315068493,8.33,2.0,N,Y,135000.0,312682.5,29686.5,297000.0,0.2199,0.09494135424911851,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers
100007,0,Cash loans,M,54.608219178082194,8.32,1.0,N,Y,121500.0,513000.0,21865.5,513000.0,0.17996296296296296,0.04262280701754386,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff
100008,0,Cash loans,M,46.41369863013698,4.35,2.0,N,Y,99000.0,490495.5,27517.5,454500.0,0.27795454545454545,0.05610143212323049,State servant,Secondary / secondary special,Married,House / apartment,Laborers
100009,0,Cash loans,F,37.74794520547945,8.58,3.0,Y,Y,171000.0,1560726.0,41301.0,1395000.0,0.24152631578947367,0.0264626846736711,Commercial associate,Higher education,Married,House / apartment,Accountants
100010,0,Cash loans,M,51.64383561643836,1.23,2.0,Y,Y,360000.0,1530000.0,42075.0,1530000.0,0.116875,0.0275,State servant,Higher education,Married,House / apartment,Managers
100011,0,Cash loans,F,55.06575342465754,4.52,2.0,N,Y,112500.0,1019610.0,33826.5,913500.0,0.30068,0.03317592020478418,Pensioner,Secondary / secondary special,Married,House / apartment,
100012,0,Revolving loans,M,39.64109589041096,5.53,1.0,N,Y,135000.0,405000.0,20250.0,405000.0,0.15,0.05,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers
100014,0,Cash loans,F,27.936986301369863,1.86,3.0,N,Y,112500.0,652500.0,21177.0,652500.0,0.18824,0.0324551724137931,Working,Higher education,Married,House / apartment,Core staff
100015,0,Cash loans,F,55.93698630136986,4.52,2.0,N,Y,38419.155,148365.0,10678.5,135000.0,0.2779472895746926,0.07197452229299363,Pensioner,Secondary / secondary special,Married,House / apartment,
100016,0,Cash loans,F,36.81917808219178,7.44,2.0,N,Y,67500.0,80865.0,5881.5,67500.0,0.08713333333333333,0.07273233166388425,Working,Secondary / secondary special,Married,House / apartment,Laborers
100017,0,Cash loans,M,38.59178082191781,8.3,3.0,Y,N,225000.0,918468.0,28966.5,697500.0,0.12874,0.03153784345235762,Working,Secondary / secondary special,Married,House / apartment,Drivers
100018,0,Cash loans,F,39.95342465753425,0.56,2.0,N,Y,189000.0,773680.5,32778.0,679500.0,0.17342857142857143,0.04236632563441886,Working,Secondary / secondary special,Married,House / apartment,Laborers
100019,0,Cash loans,M,23.912328767123288,3.17,1.0,Y,Y,157500.0,299772.0,20160.0,247500.0,0.128,0.06725111084424162,Working,Secondary / secondary special,Single / not married,Rented apartment,Laborers
100020,0,Cash loans,M,35.42739726027397,3.61,2.0,N,N,108000.0,509602.5,26149.5,387000.0,0.242125,0.05131352377588415,Working,Secondary / secondary special,Married,House / apartment,Drivers
100021,0,Revolving loans,F,26.78356164383561,0.52,3.0,N,Y,81000.0,270000.0,13500.0,270000.0,0.16666666666666666,0.05,Working,Secondary / secondary special,Married,House / apartment,Laborers
100022,0,Revolving loans,F,48.54246575342466,21.38,1.0,N,Y,112500.0,157500.0,7875.0,157500.0,0.07,0.05,Working,Secondary / secondary special,Widow,House / apartment,Laborers
100023,0,Cash loans,F,31.09041095890411,5.58,2.0,N,Y,90000.0,544491.0,17563.5,454500.0,0.19515,0.03225673151622341,State servant,Higher education,Single / not married,House / apartment,Core staff
100024,0,Revolving loans,M,50.00547945205479,11.74,2.0,Y,Y,135000.0,427500.0,21375.0,427500.0,0.15833333333333333,0.05,Working,Secondary / secondary special,Married,House / apartment,Laborers
100025,0,Cash loans,F,40.58904109589041,4.53,3.0,Y,Y,202500.0,1132573.5,37561.5,927000.0,0.1854888888888889,0.03316473500395339,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
100026,0,Cash loans,F,30.53698630136986,11.8,3.0,N,N,450000.0,497520.0,32521.5,450000.0,0.07227,0.06536722141823444,Working,Secondary / secondary special,Married,Rented apartment,Sales staff
